Normal Weight heights,Overweight heights,,,,
1875,1752.5,1,, ,
1860,1805.5,1,,, 
1828.5,1760.5,1,,,
1491.5,1850,1,,,
1835.5,1758,1,,,
1791.5,1808.5,1,,,
1779,1794.5,1,,,
1870,1862,1,,,
1765.5,1799,1,,,
1754,1860.5,1,,,
1785,1858,1,,,
1739,1706,1,,,
1696.5,1771,1,,,
1862.5,1793,1,,,
1847.5,1892,1,,,
1734.5,1654,1,,,
1779.5,1782.5,1,,,
1826.5,1832,1,,,
1680,1843,1,,,
1721.5,1750,1,,,
1829,1994.5,1,,,
1828.5,1950,1,,,
1722.5,1773,1,,,
1803,1799.5,1,,,
1790,1865,1,,,
1769.5,1868.5,1,,,
1719.5,1782,1,,,
1777,1785,1,,,
,1744.5,1,,,
,1937.5,1,,,
,1675.5,1,,,
,1620.5,1,,,
,1756.5,1,,,
,1806,1,,,
,1713,1,,,
,1911,1,,,