Heights,Weights
1875,normal.weight.heights
1860,normal.weight.heights
1828.5,normal.weight.heights
1491.5,normal.weight.heights
1835.5,normal.weight.heights
1791.5,normal.weight.heights
1779,normal.weight.heights
1870,normal.weight.heights
1765.5,normal.weight.heights
1754,normal.weight.heights
1785,normal.weight.heights
1739,normal.weight.heights
1696.5,normal.weight.heights
1862.5,normal.weight.heights
1847.5,normal.weight.heights
1734.5,normal.weight.heights
1779.5,normal.weight.heights
1826.5,normal.weight.heights
1680,normal.weight.heights
1721.5,normal.weight.heights
1829,normal.weight.heights
1828.5,normal.weight.heights
1722.5,normal.weight.heights
1803,normal.weight.heights
1790,normal.weight.heights
1769.5,normal.weight.heights
1719.5,normal.weight.heights
1777,normal.weight.heights
1752.5,overweight.heights
1805.5,overweight.heights
1760.5,overweight.heights
1850,overweight.heights
1758,overweight.heights
1808.5,overweight.heights
1794.5,overweight.heights
1862,overweight.heights
1799,overweight.heights
1860.5,overweight.heights
1858,overweight.heights
1706,overweight.heights
1771,overweight.heights
1793,overweight.heights
1892,overweight.heights
1654,overweight.heights
1782.5,overweight.heights
1832,overweight.heights
1843,overweight.heights
1750,overweight.heights
1994.5,overweight.heights
1950,overweight.heights
1773,overweight.heights
1799.5,overweight.heights
1865,overweight.heights
1868.5,overweight.heights
1782,overweight.heights
1785,overweight.heights
1744.5,overweight.heights
1937.5,overweight.heights
1675.5,overweight.heights
1620.5,overweight.heights
1756.5,overweight.heights
1806,overweight.heights
1713,overweight.heights
1911,overweight.heights